Player,PayRnk,pay,college,team,pos,age,games,point,ThrP,ThrPA,eFG,FreeThrow,rebound,assist
Enes Kanter,36,20566802,University of Pennsylvania,NYK,C,25,71,24,0,0,0.592,0.848,11,1.5
Danilo Gallinari,37,20559599,University of Notre Dame,LAC,SF,29,21,13.8,1.7,5.3,0.469,0.931,4.8,2
Serge Ibaka,38,20061729,University of Denver,TOR,PF,28,76,14.7,1.4,3.9,0.552,0.797,6.3,0.8
George Hill,39,20000000,Seton Hall University,CLE,PG,31,67,13.3,1.3,3.1,0.543,0.786,2.7,2.8
Ryan Anderson,40,19578455,University of North Carolina,HOU,PF,29,66,12.6,2,5.1,0.568,0.774,5,0.9
Paul George,41,19508958,Truman State University,OKC,SF,27,79,18.7,3.1,7.7,0.521,0.822,5.7,3.3
Allen Crabbe,42,19332500,New York University,BRK,SG,25,75,12.3,2.7,7.1,0.529,0.852,4.3,1.6
Jimmy Butler,43,19301070,University of Colorado,MIN,SG,28,59,23.7,1.2,3.4,0.512,0.854,5.3,4.9
Jeff Teague,44,19000000,Muhlenberg College,MIN,PG,29,70,16.4,1.2,3.3,0.499,0.845,3,7
Kawhi Leonard,45,18868625,College of William & Mary,SAS,SF,26,9,26,1.2,3.9,0.518,0.816,4.7,2.3
Kyrie Irving,46,18868625,University of Illinois at Urbana-Champaign,BOS,PG,25,60,25,2.8,6.8,0.568,0.889,3.8,5.1
John Wall,47,18063850,University of Wisconsin,WAS,PG,27,41,19.1,1.5,4.1,0.466,0.726,3.7,9.6
DeMarcus Cousins,48,18063850,Butler University,NOP,C,27,48,22.6,2.2,6.1,0.53,0.746,12.9,5.4
Greg Monroe,49,17884176,University of Rhode Island,PHO,C,27,51,21.2,0,0,0.565,0.739,6.9,2.2
Wesley Matthews,50,17884176,Santa Clara University,DAL,SF,31,63,11.4,2.4,6.4,0.516,0.822,3.1,2.7
Klay Thompson,51,17826150,University of Kentucky,GSW,SG,27,73,16.1,3.1,7.1,0.585,0.837,3.8,2.5
Joakim Noah,52,17765000,University of Utah,NYK,C,32,7,15.6,0,0,0.5,0.5,2,0.6
